a	(prep) to	(N/A) to	
schematisar	(v) schematize	
schematismo	(n) schematism	
scherma	(n) fencing	
schermir	(v) fence	
schermitor	(n) fencer	
scherzo	(n) scherzo	
schisma	(n) schism	
schismatic	(adj) schismatic	
schismatico	(n) schismatic	
schisto	(n) schist	
schistose	(adj) schistose	
schizo phrenia	(n) schizophrenia	
schizophrenic	(adj) schizophrenic	
schizophrenico	(n) schizophrenic	
schizopode	(adj) schizopol	
schizopodo	(n) schizopod	
schizzar	(v) sketch	
schizzo	(n) sketch	
schola	(n) school	
scholar	(adj) school scholar n school child	
scholastic	(adj) scholastic	
scholasticismo	(n) scholasticism	
scholastico	(n) scholastic	
schooner	(n) schooner	
schottisch	(n) schottische	
scia-	(n) scia-	
scia machia	(n) sciamachy	
sciatic	(adj) sciatic	
sciatica	(n) sciatica	
sciente	(adj) learned	
scientia	(n) knowledge	
scientific	(adj) scientific	
scientista	(n) scientist	
scimitarra	(n) scimitar	
scinder	(v) split	
scintilla	(n) spark	
scintillar	(v) sparkle	
scintillation	(n) scintillation	
Scipion	(npr) Scipio	
scissile	(adj) scissile	
scission	(n) scission	
scissi pare	(adj) scissiparous	
scissiparitate	(n) scissiparity	
sciuro	(n) squirrel	
sclave	(adj) slave	
sclavitude	(n) slavery	
sclavo	(n) slave	
scler antho	(n) scleranth	
scler enchyma	(n) sclerenchyma	
scleroma	(n) scleroma	
scler ophthalmia	(n) sclerophthalmia	
sclerose	(adj) sclerous	
sclerosis	(n) sclerosis	
sclerotic	(adj) sclcrotic	
sclerotica	(n) sclerotic	
scolio	(n) reef	
scoliose	(adj) full of reefs	
scopa	(n) broom	
scopar	(v) sweep	
scopator	(n) sweeper	
scopatrice	(n) sweeper	
scopatura	(n) sweepings	
-scopio	(n) -scope	
scopo	(n) target	
scorbutic	(adj) scorbutic	
scorbuto	(n) scurvy	
scoria	(n) scoria	
scorificar	(v) scorify	
scorification	(n) scorification	
scorpion	(n) scorpion	
scorpionide	(n) scorpionid	
scote	(adj) Scotch	
Scotia	(npr) Scotland	
scotic	(adj) Scotch	
scoto	(n) Scot	
scriba	(n) scribe	
scriber	(v) write	
scripte	(adj) written	
scripto	(n) writing	
scriptor	(n) writer	
scriptorio	(n) desk	
scriptura	(n) writing	
scriptural	(adj) scriptural	
scrofula	(n) scrofula	
scrofulose	(adj) scrofulous	
scrofulosis	(n) scrofulosis	
scrupulo	(n) scruple	
scrupulose	(adj) scrupulous	
scrupulositate	(n) scrupulousness	
scrutabile	(adj) scrutable	
scrutar	(v) scan	
scrutiniar	(v) scrutinize	
scrutinio	(n) scrutiny	
sculper	(v) sculpture	
sculpte	(adj) sculptured	
sculptor	(n) sculptor	
sculptrice	(n) sculptress	
sculptura	(n) sculpture	
sculptural	(adj) sculptural	
sculpturesc	(adj) sculpturesque	
scuma	(n) foam	
scumar	(v) foam	
scumatoria	(n) skimmer	
scumose	(adj) foaming	
scuriolo	(n) squirrel	
scutella	(n) small bowl	
scutellaria	(n) Scutellaria	
scutero	(n) squire	
scuti forme	(adj) scutiform	
scuto	(n) shield	
Scylla	(npr) Scylla	
scytha	(n) Scyth	
Scythia	(npr) Scythia	
scythic	(adj) Scythian	
scytho	(n) Scythian	
se	(N/A) himself	
secabile	(adj) capable of being cut	
secale	(n) rye	
secante ppr of secar;	(adj) sccant	
secante	(n) secant	
seca papiro	(n) paper cutter	
secar	(v) cut	
secerner	(v) separate	
secreta	(n) secret	
secretar	(v) secrete	
secretariato	(n) secrctariate	
secretario	(n) secrctary	
secrete	(adj) secret	
secretion	(n) secretion	
secreto	(n) secret	
secretori	(adj) secretory	
secta	(n) sect	
sectari	(adj) sectarian	
sectario	(n) sectarian	
section	(n) cutting	
sectionar	(v) section	
sector	(n) sector	
sectura	(n) cut	
secular	(adj) secular	(n) secular	
secularisar	(v) secularize	
secularisation	(n) secularization	
secularismo	(n) secularism	
secularista	(n) secularist	
secularitate	(n) secularity	
seculo	(n) century	
secunda	(n) second	
secundar	(v) second	
secundari	(adj) secondary	
secunde	(adj) second	
secundinas	(npl) secundines	
secundo	(n) second secundo prep after	
secur	(adj) secure	
securitate	(n) security	
sed	(conj) but	
sedar	(v) allay	
sedation	(n) sedation	
sedative	(adj) sedative	
sedativo	(n) sedative	
sede	(n) seat	
se-dece	(adj) sixteen	
sedentari	(adj) sedentary	
sedente	(adj) seated	
seder	(v) sit	
sedimentar	(v) sediment	
sedimentari	(adj) sedimentary	
sedimentation	(n) sedimentation	
sedimento	(n) sediment	
sedition	(n) sedition	
seditionar	(v) sedition	
seditiose	(adj) ceditious	
seducer	(v) seduce	
seducibile	(adj) seducible	
seducimento	(n) seducement	
seduction	(n) seduction	
seductive	(adj) seductive	
seductor	(n) seducer	
segmentar	(v) segment	
segmentari	(adj) segmentary	
segmentation	(n) segmentation	
segmento	(n) segment	
segregar	(v) segregate	
segregation	(n) segregation	
segregative	(adj) segregative	
seismal	(adj) seismal	
seismic	(adj) seismic	
seismo	(n) earthquake	
seismographic	(adj) seismographic	
seismo grapho	(n) seismograph	
seismologia	(n) seismology	
seismologic	(adj) seismologic	
seismo logo	(n) seismologist	
selecte	(adj) select	
selection	(n) selection	
selectionar	(v) select	
selective	(adj) selective	
selen-	(n) seleno-	
seleniato	(n) selenate	
selenic	(adj) selenic	
seleniose	(adj) selenious	
selenita	(n) Selenite	
selenite	(n) selenite	
selenito	(n) selenite	
selenium	(n) selenium	
selenographia	(n) selenography	
seliger	(v) select	
sella	(n) saddle	
sellar	(v) saddle	
selleria	(n) saddlery	
sellero	(n) saddler	
Sem	(npr) Shem	
sema-	(n) sema-	
semantic	(adj) semantic	
semantica	(n) semantics	
semanticista	(n) semanticist	
sema phoro	(n) semaphore	
semasi-	(n) semasi-	
semasiologia	(n) semasiology	
semasiologic	(adj) semasiological	
semasio logo	(n) semasiologist	
semato graphia	(n) sematography	
semblante	(n) semblance	
semblantia	(n) semblance	
semblar	(v) seem	
semeio-	(n) semeio	
semeio logia	(n) semeiology	
semeiologic	(adj) semeiologic	
semeiogic	(adj) semeiotic	
semeiotica	(n) semeiotics	
semestral	(adj) semestral	
se mestre	(n) semester	
semi barbare	(adj) semibarbarous	
semi breve	(n) semibreve	
semicircular	(adj) semicircular	
semi circulo	(n) semicircle	
semi circumferentia	(n) semicircumference	
semi consonante	(n) semiconsonant	
semi cupio	(n) semicupium	
semicylindric	(adj) semicylindric	
semi cylindro	(n) semicylinder	
semi dea	(n) demigoddess	
semi deo	(n) demigod	
semi diametro	(n) semidiameter	
semi diaphane	(adj) semidiaphanous	
semi duple	(adj) semidouble	
semiflosculose	(adj) semifloscular	
semi fluide	(adj) semifluid	
semi lunar	(adj) semilunar semi lunar n semilunar	
semi morte	(adj) half-dead	
seminal	(adj) seminal	
seminar	(v) sow	
seminario	(n) seedbed	
seminarista	(n) seminarist	
semination	(n) semination	
seminator	(n) sower	
seminatorio	(n) seeder	
semine	(n) seed	
seminifere	(adj) seminiferous	
semi nude	(adj) seminude	
semi official	(adj) semiofficial	
semi pelagian	(adj) Semi-Pelagian	
semipelagianismo	(n) Semi-Pelagianism	
semipelagiano	(n) Semi-Pelagian	
semi prova	(n) semiproof	
semi salvage	(adj) semisavage	
semi somne	(adj) semisomnous	
semita	(n) Semite	(n) path	
semital	(adj) semital	
semitic	(adj) Semitic	
semitismo	(n) Semitism	
semi tono	(n) semitone	
semi transparente	(adj) semitransparent	
semitransparentia	(n) semitransparency	
semi tropical	(adj) semitropical	
semi uncial	(adj) semiuncial	
semi vive	(adj) half-alive	
semivocal	(n) semivowel	
semper	(adv) always	
semper verde	(adj) evergreen semper verde n evergreen	
semp iterne	(adj) everlasting	
senato	(n) senate	
senato consulto	(n) senatus consultum	
senator	(n) senator	
senatorial	(adj) senatorial	
senectute	(n) old age	
Senegal	(npr) Senegal	
senegalese	(adj/n) Senegalese	
senil	(adj) senile	
senilitate	(n) senility	
senior	(adj) senior	
seniora	(n) lady	
senioretta	(n) miss	
senioria	(n) seigniory	
seniorial	(adj) seignorial	
sensar	(v) sense	
sensate	(adj) sensible	
sensation	(n) sensation	
sensational	(adj) sensational	
sensationalismo	(n) sensationalism	
sensibile	(adj) perceptible	
sensibilitate	(n) sensibility	
sensitiva	(n) sensitive plant	
sensitive	(adj) sensitive	
senso	(n) sense	
sensorial	(adj) sensorial	
sensorio	(n) sensorium	
sensual	(adj) sensual	
sensualisar	(v) sensualize	
sensualismo	(n) sensualism	
sensualista	(n) sensualist	
sensualitate	(n) sensuality	
sententia	(n) sentence	
sententiar	(v) sentence	
sententiose	(adj) sententious	
sentiente	(adj) sentient	
sentiero	(n) path	
sentimental	(adj) sentimental	
sentimentalismo	(n) sentimentalism	
sentimentalitate	(n) sentimentality	
sentimento	(n) feeling	
sentir	(v) feel	
separabile	(adj) separable	
separar	(v) separate	
separate pp of separar;	(adj) separate	
separation	(n) separation	
separatismo	(n) separatism	
separatista	(n) separatist	
separative	(adj) separative	
separator	(n) separater	
sepe	(n) hedge	
sepsis	(n) sepsis	
septagesime	(adj) seventieth	
septanta	(adj) seventy	
septantesime	(adj) seventieth	
septe	(adj) seven	
septembre	(n) September	
septemviral	(adj) septemviral	
septemvirato	(n) septemvirate	
septem viro	(n) septemvir	
septentrion	(n) Septentrion	
septentrional	(adj) northern	
septic	(adj) septic	
septic emia	(n) septicemia	
septicemic	(adj) septicemic	
septicitate	(n) septicity	
septico	(n) septic	
septima	(n) seventh	
septimana	(n) week	
septimanal	(adj) weekly	
septime	(adj) seventh	
septuplar	(v) septuple	
septu ple	(adj) septuple	
septu plicar	(v) septuple	
sequente ppr of sequer;	(adj) following	
sequentia	(n) sequence	
sequer	(v) follow	
sequestrar	(v) sequester	
sequestration	(n) sequestration	
sequestro	(n) sequestration	
sequoia	(n) sequoia	
seralio	(n) seraglio	
serbe	(adj) Serb	
Serbia	(npr) Serbia	
serbo	(n) Serb	
serbo croate	(adj) Serbo-Croatian	
serbocroato	(n) Serbo-Croatian	
seren	(adj) serene	
serenada	(n) serenade	
serenar	(v) make serene	
serenissimo	(n) serenissimo	
serenitate	(n) serenity	
sergente	(n) sergeant	
serial	(adj) serial	
seriar	(v) arrange in series	
serie	(n) series	(adj) serious	
serio	(n) seriousness	
sermon	(n) sermon	
sermonar	(v) preach	
sermonator	(n) preacher	
sermonisar	(v) sermonize	
sero	(n) whey	
sero logia	(n) serology	
serose	(adj) serous	
serositate	(n) selosity	
sero therapia	(n) serotherapy	
serpentar	(v) wind	
serpentaria	(n) serpentaria	
serpente	(n) snake	
serpenti forme	(adj) serpentiform	
serpentin	(adj) serpentine	
serpentino	(n) serpentine	
serper	(v) glide	
serpigine	(n) serpigo	
serpiginose	(adj) serpiginous	
serra	(n) saw	
serramento	(n) locking	
serrar	(v) saw	(v) lock	
serrate pp of serrar;	(adj) serrate	
serration	(n) sawing	
serrator	(n) sawyer	
serratula	(n) sawwort	
serratura	(n) lock	
serreria	(n) sawmill	
serva	(n) slave	
servage	(n) slavery	
servar	(v) conserve	
serve	(adj) subject to servitude	
servibile	(adj) serviceable	
servicial	(adj) serviceable	
servicio	(n) service	
serviente	(n) servant	
servietta	(n) napkin	
servil	(adj) servile	
servilismo	(n) servileness	
servilitate	(n) servility	
servir	(v) serve	
servitor	(n) servant	
servitude	(n) servitude	
servo	(n) serf	
sesqui-	(adv) sesqui-	
sesquialtera	(n) sesquialtera	
sesqui altere	(adj) sesquialteral	
sesqui oxydo	(n) sesquioxide	
sesqui ped-	(n) sesquiped-	
sesquipedal	(adj) sesquipedalian	
sesqui plano	(n) biplane with short underplane	
sessile	(adj) sessile	
session	(n) sitting	
seta	(n) bristle	
setacee	(adj) setaceous	
setassar	(v) bolt	
setasso	(n) bolter	
sete	(n) thirst	
seteria	(n) silk factory or store	
setifere	(adj) bristle-bearing	
seti forme	(adj) bristle-shaped	
seton	(n) seton	
setose	(adj) silky	
setter	(n) setter	
sever	(adj) severe	
severitate	(n) severity	
S vres	(npr) S vres	
sex	(adj) six	
sexagesimal	(adj) sexagesimal	
sexagesime	(adj) sixtieth	
sexanta	(adj) sixty	
sexantesime	(adj) sixtieth	
sexo	(n) sex	
sexta	(n) Sext	
sextante	(n) sextant	
sexte	(adj) sixth	
sextetto	(n) sextet	
sextuplar	(v) sextuple	
sextu ple	(adj) sextuple	
sextu plicar	(v) sextuple	
sexual	(adj) sexual	
sexualitate	(n) sexuality	
shako	(n) shako	
shampooing	(n) shampooing	
shilling	(n) shilling	
shogun	(n) shogun	
shophar	(n) shofar	
shrapnel	(n) shrapnel	
shunt	(n) shunt	
si	(adv) thus	(conj) if	(n) ti	
sial agoge	(adj) sialagogue	
sialagogo	(n) sialagogue	
sialo-	(n) sialo-	
Siam	(npr) Siam	
siamese	(adj/n) Siamese	
sibilante ppr of sibilar;	(adj) sibilant sibilante n sibilant	
sibilar	(v) whistle	
sibilation	(n) sibilation	
sibilator	(n) whistler	
sibilo	(n) whistle	
Sibiria	(npr) Siberia	
sibirian	(adj) Siberian	
sibiriano	(n) Siberian	
sibiric	(adj) Siberian	
sibylla	(n) sibyl	
sibyllin	(adj) sibylline	
sic	(adj) dry	
sicca	(n) shelf	
siccante ppr of siccar;	(adj) drying	
siccar	(v) dry	
siccative	(adj) siccative	
siccatorio	(n) drying-place	
siccitate	(n) dryness	
Sicilia	(npr) Sicily	
sicilian	(adj) Sicilian	
siciliana	(n) Siciliana	
siciliano	(n) Sicilian	
sideral	(adj) sidereal	
siderar	(v) strike	
sideration	(n) sudden stroke	
siderite	(n) siderite	
sidero-	(n) sidero-	
sidero graphia	(n) siderography	
sidero litho	(n) siderolite	
sidero scopio	(n) sideroscope	
sidero stato	(n) siderostat	
sider urgia	(n) metallurgy or working of iron	
siderurgic	(adj) iron	
siesta	(n) siesta	
sigillar	(v) seal	
sigillator	(v) sealer	
sigillo	(n) seal	
signal	(n) signal	
signalamento	(n) signaling	
signalar	(v) signal	
signalate pp of signalar;	(adj) remarkable	
signaiator	(n) signaler	
signar	(v) sign	
signator	(n) signer	
signatura	(n) signature	
significante ppr of significar;	(adj) significant	
significantia	(n) significance	
significar	(v) signify	
signification	(n) signification	
significative	(adj) significant	
significato	(n) meaning	
significator	(n) signifier	
signo	(n) sign	
silente	(adj) silent	
silentiar	(v) silence	
silentiario	(n) silentiary	
silentiator	(n) silencer	
silentio	(n) silence	
silentiose	(adj) silent	
Silesia	(npr) Silesia	
silesian	(adj) Silesian	
silesiano	(n) Silesian	
silhouettar	(v) silhouette	
silhouette	(n) silhouette	
silicato	(n) silicate	
silice	(n) flint	
silicee	(adj) siliceous	
silicic	(adj) silicic	
silicificar	(v) silicify	
silicification	(n) silicification	
silici fluoric	(adj) silicifluoric	
silicium	(n) silicon	
silicosis	(n) silicosis	
silicula	(n) silicle silicula	
siliculose	(adj) siliculose	
siliqua	(n) pod	
siliquifere	(adj) pod-bearing	
siliquose	(adj) siliquose	
silo	(n) silo	
siluro	(n) silurus	
silva	(n) wood	
silvan	(adj) sylvan	
silvanite	(n) sylvanite	
Silvano	(npr) Silvanus	
silvatic	(adj) forest	
silvestre	(adj) forest	
silvi cultor	(n) forester	
silvi cultura	(n) forestry	
silvose	(adj) wooded	
simia	(n) monkey	
simian	(adj) simian	
simiar	(v) ape	
simieria	(n) monkey business	
simiesc	(adj) simian	
similabile	(adj) similar	
similante	(n) semblance	
similantia	(n) semblance	
similar	(adj) similar	(v) resemble	
similaritate	(n) similarity	
simil auro	(n) similor	
simile	(adj) like	(n) simile	
similitude	(n) likeness	
Simon	(nprm) Simon	
simonia	(n) simony	
simonisar	(v) practice simony	
simonista	(n) simonist	
sim ple	(adj) simple	
sim plice	(adj) simple	
sim plices	(npl) simples	
simplicitate	(n) simplicity	
simplificabile	(adj) capable of being simplified	
simplificar	(v) simplify	
simplification	(n) simplification	
simplificator	(n) simplifier	
simplismo	(n) oversimplification	
simul	(adv) at once	
simulacro	(n) simulacrum	
simular	(v) simulate	
simulate pp of simular;	(adj) simulate	
simulation	(n) simulation	
simulator	(n) simulator	
simultanee	(adj) simultaneous	
simultaneitate	(n) simultaneity	
sin	(prep) without	
Sin-	(npr) Sin-	
Sinai	(npr) Sinai	
sincer	(adj) sincere	
sinceritate	(n) sincerity	
sincipital	(adj) sincipital	
sin cipite	(n) sinciput	
sine cura	(n) sinecure	
sinecurismo	(n) sinecurism	
sinecurista	(n) sinecurist	
singular	(adj) singular	
singularisar	(v) singularize	
singularitate	(n) singularity	
singule	(adj) single	
singultar	(v) sob	
singulto	(n) sob	
sinistre	(adj) left	
sinistro gyr	(adj) sinistrogyrate	
sinistro mane	(adj) left-handed	
sinistr orse	(adj) sinistrorse	
sinn fein	(n) Sinn Fein	
sino	(n) bosom	
sino japonese	(adj) Sino-Japanese	
sinologia	(n) Sinology	
sino logo	(n) Sinologue	
si-nominate	(adj) so-called	
sinuate	(adj) sinuate	
sinuose	(adj) sinuous	
sinuositate	(n) sinuosity	
sinus	(n) sine	
sinusitis	(n) sinusitis	
sinusoidal	(adj) sinusoidal	
sinusoide	(n) sinusoid	
Sion	(npr) Zion	
sionismo	(n) Zionism	
sionista	(n) Zionist	
sionita	(n) Ronsdorfer	
siphon	(n) siphon	
siphono phoro	(n) siphonophore	
siphono stome	(adj) siphonostomatous	
sirena	(n) siren	
sirenie	(adj) sirenian	
sirenios	(npl) Sirenia	
sirocco	(n) sirocco	
sirop	(n) syrup	
siropose	(adj) syrupy	
sistro	(n) sistrum	
site	(adj) situated	
sito	(n) site	
sito-	(n) sito-	
sito mania	(n) sitomania	
sito phobia	(n) sitophobia	
situar	(v) situate	
situation	(n) situation	
situla	(n) buckct	
situlata	(n) bucketful	
skeletic	(adj) skeletal	
skeleto	(n) skeleton	
skelet ologia	(n) skeletology	
ski	(n) ski	
skiar	(v) ski	
skiator	(n) skier	
skunk	(n) skunk	
slave	(adj) Slav	
slavismo	(n) Slavicism	
slavista	(n) Slavist	
slavo	(n) Slav	
slavon	(adj) Slavonian	
Slavonia	(npr) Slavonia	
slavono	(n) Slavonian	
slavo phile	(adj) Slavophile	
slavophilo	(n) Slavophile	
sleeping-car	(n) sleeping car	
slitta	(n) drag	
slogan	(n) slogan	
sloop	(n) sloop	
slovac	(adj) Slovak	
Slovachia	(npr) Slovakia	
slovaco	(n) Slovak	
sloven	(adj) Slovene	
Slovenia	(npr) Slovenia	
sloveno	(n) Slovene	
smalt	(n) enamel	
smaltar	(v) enamel	
smaragdin	(adj) emerald	
smaragdite	(n) smaragdite	
smaragdo	(n) emerald	
smerilio	(n) emery	
smoking	(n) tuxedo	
snob	(n) snob	
snobismo	(n) snobbishness	
pr me pers sing of esser am so-	(v) so-	
sobrie	(adj) sober	
sobrietate	(n) soberness	
socco	(n) sock	
socculo	(n) socle	
sociabile	(adj) sociable	
sociabilitate	(n) sociability	
social	(adj) social	
socialisar	(v) socialize	
socialisation	(n) socialization	
socialismo	(n) socialism	
socialista	(n) socialist socialista adj socialist	
sociar	(v) join or unite	
societate	(n) society	
socio	(n) partner	
sociologia	(n) sociology	
sociologic	(adj) sociologic	
socio logo	(n) sociologist	
Socrates	(npr) Socrates	
socratic	(adj) Socratic	
socratico	(n) Socratic	
soda	(n) soda	
sodium	(n) sodium	
Sodoma	(npr) Sodom	
sodomia	(n) sodomy	
sodomita	(n) Sodomite	
sodomitic	(adj) Sodomitic	
sofa	(n) sofa	
soir e	(n) party	
soja	(n) soy	
sojornar	(v) stay	
sojorno	(n) stay	
sol	(n) sol	(n) sun	(adj) sole	
solanaceas	(npl) Solanaceae	
solanacee	(adj) solanaceous	
solano	(n) nightshade	
solar	(adj) solar -solar v	
solario	(n) solarium	
soldar	(v) have in pay	(v) solder	
soldatesc	(adj) soldierly	
soldatesca	(n) soldiery	
soldato	(n) soldier	
soldator	(n) solderer	
soldatura	(n) soldering	
soldo	(n) sou	
solea	(n) sole	
solear	(v) sole	
solemne	(adj) solemn	
solemnisar	(v) solemnize	
solemnisation	(n) solemnization	
solemnisate	(n) solemnity	
soler	(v) be wont do	
solfeggiar	(v) sol-fa	
solfeggio	(n) solfeggio	
solidar	(v) make solid or firm	
solidari	(adj) solidary	
solidarisar	(v) render jointly liable or responsible	
solidaritate	(n) solidarity	
solide	(adj) solid	
solidificar	(v) solidify	
solidification	(n) solidification	
soliditate	(n) solidity	
soli loquio	(n) soliloquy	
soli pede	(adj) soliped soli pede nsoliped	
solista	(n) soloist	
solitari	(adj) solitary	
solitario	(n) solitary	
solitate	(n) loneliness	
solite	(adj) wonted	
solitude	(n) solitude	
sollicitante	(n) solicitant	
sollicitar	(v) solicit	
sollicitation	(n) solicitation	
sollicitator	(n) solicitor	
sollicite	(adj) solicitous	
sollicitude	(n) solicitude	
solmente	(adv) only	
sol misar	(v) sol-fa	
solmisation	(n) solmization	
solo	(n) solo	(n) soil	
solstitial	(adj) solstitial	
sol stitio	(n) solstice	
solubile	(adj) soluble	
solubilitate	(n) solubility	
solute	(adj) solved	
solution	(n) solution	
solvente	(adj) solvent solvente n solvent	
solventia	(n) solvency	
solver	(v) resolve	
soma	(n) soma	(n) soma	
somatic	(adj) somatic	
somato logia	(n) somatology	
somatologic	(adj) somatologic	
somn ambule	(adj) somnambulistic	
somn ambulismo	(n) somnambulism	
somn ambulo	(n) sleepwalker	
somnifere	(adj) soporific	
somnifero	(n) sleeping tablet	
somni loque	(adj) somniloquous	
somni loquio	(n) somniloquy	
somniloquista	(n) somniloquist	
somno	(n) sleep	
somnolente	(adj) somnolent	
somnolentia	(n) somnolence	
sonalia	(n) cattle bell	
sonante ppr of sonar;	(adj) sonant	
sonar	(v) sound	
sonata	(n) sonata	
sonatina	(n) sonatina	
sonator	(n) sounder	
sonda	(n) lead	
sondage	(n) sounding	
sondar	(v) sound	
sondator	(n) leadsman	
sonettar	(v) compose sonnets	
sonettero	(n) sonneteer	
sonetto	(n) sonnet	
soniar	(v) dream	
soniator	(n) dreamer	
sonio	(n) dream	
sono	(n) sound	
sono metro	(n) sonometer	
sonor	(adj) sonorous	
sonoritate	(n) sonority	
soph-	(adj) soph-	
sophia	(n) sophia	
sophic	(adj) sophic	
sophismo	(n) sophism	
sophista	(n) Sophist	
sophistic	(adj) sophistic	
sophistica	(n) sophistics	
sophisticar	(v) sophisticate	
sophistication	(n) sophistication	
Sophocles	(npr) Sophocles	
sopir	(v) put to sleep	
sopor	(n) sopor	
soporifere	(adj) soporific	
soporific	(adj) soporific	
soporifico	(n) soporific	
soporose	(adj) soporific	
sopranista	(n) sopranist	
soprano	(n) soprano	
sorber	(v) sup	
soror	(n) sister	
sororal	(adj) sisterly	
sororastra	(n) stepsister	
sorta	(n) sort	
sorte	(n) lot	
sorti legio	(n) sorcery	
sortir	(v) go or come out	
sortita	(n) sortie	
S O S	(n) S O S	
Sosia	(npr) sosia	
sottana	(n) cassock	
souffl	(n) souffl	
soupar	(v) sup	
souper	(n) supper	
souvenir	(n) souvenir	
soveran	(adj) sovereign	
soveranitate	(n) sovereignty	
soverano	(n) sovereign	
soviet	(n) soviet	
sovietic	(adj) soviet	
sovietisar	(v) sovietize	
sovietisation	(n) sovietization	
sovietismo	(n) sovietism	
sovietista	(n) sovietist	
spada	(n) sword	
spadero	(n) swordmaker	
spadon	(n) sword	
spaghetti	(npl) spaghetti	
spalier	(n) trellis	
sparadrapo	(n) adhesive plaster	
sparger	(v) sprinkle	
spargitor	(n) sprinkler	
sparniar	(v) spare	
sparnio	(n) saving	
sparse	(adj) sparse	
Sparta	(npr) Sparta	
spartan	(adj) Spartan	
spartano	(n) Spartan	
spasmo	(n) spasm	
spasmodic	(adj) spasmodic	
spastic	(adj) spastic	
spatha	(n) spathe	
spathacee	(adj) spathaceous	
spatial	(adj) spatial	
spatiamento	(n) spacing	
spatiar	(v) space	
spatio	(n) space	
spatiose	(adj) spacious	
spatiositate	(n) spaciousness	
spatula	(n) spoonbill	
special	(adj) special	
specialisar	(v) specialize	
specialisation	(n) specialization	
specialista	(n) specialist	
specialitate	(n) specialty	
specie	(n) species	(n) spice	
specieria	(n) groceries	
speciero	(n) grocer	
specific	(adj) specific	
specificar	(v) specify	
specification	(n) specification	
specificitate	(n) specificity	
specimen	(n) specimen	
speciose	(adj) specious	
speciositate	(n) speciousness	
spectaculo	(n) spectacle	
spectar	(v) look at	
spectator	(n) spectator	
spectral	(adj) spectral	
spectro	(n) ghost	
spectroscopia	(n) spectroscopy	
spectroscopic	(adj) spectroscopic	
spectro scopio	(n) spectroscope	
spectroscopista	(n) spectroscopist	
specular	(adj) specular	
speculation	(n) speculation	
speculative	(adj) speculative	
speculator	(n) speculator	
speculo	(n) mirror	
speech	(n) speech	
sperabile	(adj) be hoped	
sperantia	(n) hope	
sperantiose	(adj) hopeful	
sperar	(v) hope	
sperma	(n) sperm	
spermaceti	(n) spermaceti	
spermatic	(adj) spermatic	
spermato zoon	(n) spermatozoon	
spermo philo	(n) gopher	
spero	(n) hope	
sphera	(n) sphere	
spheric	(adj) spherical	
sphericitate	(n) sphericity	
spheroidal	(adj) spheroidal	
spheroide	(n) spheroid	
spher ometro	(n) spherometer	
sphinge	(n) sphinx	
spia	(n) spy	
spiar	(v) spy	
spica	(n) ear	
spica nardo	(n) spikenard	
spicar	(v) ear	
spicate	(adj) spiky	
spicifere	(adj) spiciferous	
spici forme	(adj) spiciform	
spici legio	(n) gleaning	
spicula	(n) spikelet	
spiculate	(adj) spiculate	
spina	(n) spine	
spinace	(n) spinach	
spinacia	(n) spinach	
spinal	(adj) spinal	
spineto	(n) thicket of thorns	
spinetta	(n) spinet	
spinifere	(adj) spiniferous	
spino	(n) thorn	
spinose	(adj) thorny	
spinositate	(n) thorniness	
spinula	(n) pin	
spion	(n) spy	
spionage	(n) spying	
spionar	(v) spy	
spira	(n) whorl	
spiral	(adj) spiral spiral n spiral	
spirante	(adj/n) spirant	
spirar	(v) breathe	
spiration	(n) spiration	
spiritismo	(n) spiritualism	
spiritista	(n) spirituatist	
spiritistic	(adj) spiritistic	
spirito	(n) spirit	
spiritual	(adj) spiritual	
spiritualisar	(v) spiritualize	
spiritualisation	(n) spiritualization	
spiritualismo	(n) spiritualism	
spiritualista	(n) spiritualist	
spiritualitate	(n) spirituality	
spirituose	(adj) spirited	
spirituositate	(n) spiritedness	
spiro cheta	(n) spirochete	
spiroidal	(adj) spiroid	
spiroide	(adj) spiroid	
spirometria	(n) spirometry	
spirometric	(adj) spirometric	
spiro metro	(n) spirometer	
spissar	(v) thicken	
spisse	(adj) thick	
spissitate	(n) thickness	
spissor	(n) thickness	
splen	(n) spleen	
splendente ppr of splender;	(adj) splendent	
splender	(v) shine	
splendide	(adj) bright	
splendor	(n) splendor	
splenic	(adj) splenic	
splenitis	(n) splenitis	
spleno logia	(n) splenorogy	
spleno pathia	(n) splenopathy	
spolia	(n) slough	
spoliamento	(n) casting	
spoliar	(v) skin	
spoliation	(n) spoliation	
spoliator	(n) spoliator	
spondaic	(adj) spondaic	
spondeo	(n) spondee	
sponder	(v) promise	
spongia	(n) sponge	
spongiar	(v) sponge	
spongiose	(adj) spongy	
spongiositate	(n) sponginess	
spongite	(n) spongite	
sponsa	(n) newly wed	
sponsal	(adj) nuptial	
sponsalias	(npl) wedding ceremony	
sponsar	(v) marry	
sponsate pp of sponsar;	(adj) married	
sponsion	(n) bet	
sponso	(n) newly wed	
spontanee	(adj) spontaneous	
spontaneitate	(n) spontaneity	
sponte	(adv) voluntarily	
spora	(n) spore	
sporadic	(adj) sporadic	
sporadicitate	(n) sporadicalness	
spor angio	(n) sporangium	
sporidio	(n) sporidium	
sporon	(n) spur	
sporonamento	(n) spurring	
sporonar	(v) spur	
sporonero	(n) spurrier	
sport	(n) sport	
sportive	(adj) sport	
sportsman	(n) sportsman	
sportswoman	(n) sportswoman	
